id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-08-17 04:09:38,"{""short_code"":""7Gw6Bi"",""original_url"":""https://seeded.app/warm/island/1""}"
2,2,235,created,2025-02-04 22:44:44,"{""short_code"":""1zLm5c"",""original_url"":""https://hackstack.io/navy/orbit/2""}"
3,3,275,created,2025-04-08 11:03:51,"{""short_code"":""O6juEY"",""original_url"":""https://hackstack.io/harbor/meadow/3""}"
4,4,342,created,2026-01-19 11:51:41,"{""short_code"":""tNrWID"",""original_url"":""https://relay.cloud/ivory/lagoon/4""}"
5,5,310,created,2026-02-01 22:07:21,"{""short_code"":""8d5vdH"",""original_url"":""https://hackstack.io/proud/pioneer/5""}"
6,6,387,created,2025-12-01 14:53:38,"{""short_code"":""MvNitW"",""original_url"":""https://acme.dev/navy/uplink/6""}"
7,7,153,created,2025-03-28 09:48:36,"{""short_code"":""HJg42K"",""original_url"":""https://opswise.net/gold/meadow/7""}"
8,8,238,created,2025-09-06 11:10:01,"{""short_code"":""wMPZHT"",""original_url"":""https://opswise.net/jade/meadow/8""}"
9,9,197,created,2026-02-05 13:35:43,"{""short_code"":""cKKClf"",""original_url"":""https://example.com/calm/zenith/9""}"
10,10,338,created,2025-12-16 17:36:23,"{""short_code"":""qtvN8T"",""original_url"":""https://seeded.app/ember/meadow/10""}"
11,11,14,created,2025-10-27 08:56:04,"{""short_code"":""32aaYJ"",""original_url"":""https://example.com/dawn/zenith/11""}"
12,12,304,created,2025-03-26 14:39:59,"{""short_code"":""CvBAQq"",""original_url"":""https://example.com/ivory/field/12""}"
13,13,255,created,2025-05-06 22:09:59,"{""short_code"":""AEESob"",""original_url"":""https://example.com/proud/harvest/13""}"
14,14,298,created,2025-04-03 08:44:16,"{""short_code"":""hKW4MF"",""original_url"":""https://acme.dev/urban/zenith/14""}"
15,15,387,created,2025-11-17 23:06:32,"{""short_code"":""sZ3jPy"",""original_url"":""https://example.com/cobalt/beacon/15""}"
16,16,177,created,2026-01-19 14:38:23,"{""short_code"":""Yj3Qmv"",""original_url"":""https://hackstack.io/jade/yard/16""}"
17,17,216,created,2025-09-22 12:54:39,"{""short_code"":""sBRA4y"",""original_url"":""https://hackstack.io/cobalt/kernel/17""}"
18,18,327,created,2025-12-31 01:55:49,"{""short_code"":""l60WHB"",""original_url"":""https://example.com/ember/window/18""}"
19,19,153,created,2025-08-19 08:58:23,"{""short_code"":""VQx4XU"",""original_url"":""https://seeded.app/gold/yard/19""}"
20,20,49,created,2025-11-27 07:27:01,"{""short_code"":""sK3nkR"",""original_url"":""https://hackstack.io/calm/signal/20""}"
21,21,263,created,2025-06-27 08:56:07,"{""short_code"":""6viU2a"",""original_url"":""https://acme.dev/lively/garden/21""}"
22,22,263,created,2025-12-17 14:30:32,"{""short_code"":""NLWwz9"",""original_url"":""https://example.com/rapid/lagoon/22""}"
23,23,209,created,2025-12-21 20:46:40,"{""short_code"":""JlVnnp"",""original_url"":""https://acme.dev/quiet/window/23""}"
24,24,269,created,2025-11-19 06:47:14,"{""short_code"":""4FE1w5"",""original_url"":""https://example.com/cobalt/kernel/24""}"
25,25,365,created,2025-06-22 20:32:11,"{""short_code"":""OTDfWW"",""original_url"":""https://hackstack.io/navy/anchor/25""}"
26,26,247,created,2025-10-22 04:45:31,"{""short_code"":""NRpaK9"",""original_url"":""https://relay.cloud/urban/beacon/26""}"
27,27,354,created,2025-03-30 04:29:38,"{""short_code"":""7xW2qo"",""original_url"":""https://relay.cloud/calm/uplink/27""}"
28,28,20,created,2025-10-01 20:38:17,"{""short_code"":""cNpJHw"",""original_url"":""https://seeded.app/jade/trail/28""}"
29,29,56,created,2025-11-08 15:10:03,"{""short_code"":""SBoFwf"",""original_url"":""https://seeded.app/quiet/engine/29""}"
30,30,91,created,2026-02-15 11:39:32,"{""short_code"":""ribjGc"",""original_url"":""https://relay.cloud/rapid/network/30""}"
31,31,355,created,2026-01-23 18:06:37,"{""short_code"":""pCuKTl"",""original_url"":""https://example.com/harbor/trail/31""}"
32,32,59,created,2025-04-21 12:02:11,"{""short_code"":""Mf0ZO7"",""original_url"":""https://hackstack.io/clear/garden/32""}"
33,33,213,created,2025-01-04 07:34:29,"{""short_code"":""TxtDaL"",""original_url"":""https://relay.cloud/forest/orbit/33""}"
34,34,205,created,2025-03-03 05:17:18,"{""short_code"":""lRSLmS"",""original_url"":""https://example.com/gold/engine/34""}"
35,35,126,created,2026-01-12 16:46:37,"{""short_code"":""Pnnzdu"",""original_url"":""https://opswise.net/navy/signal/35""}"
